id,target
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",1
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",1
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",0
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",0
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",1
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",0
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",1
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",0
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",0
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",1
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",0
"tensor([  5,  20,  28,  37,  77,  96, 129, 138, 146, 158, 162, 171, 178, 213,
        222, 265, 268, 279, 285, 296, 312, 337, 338, 346, 347, 364, 368, 380,
        384, 389, 394, 406], device='cuda:0')",0
